Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.74426,1556.30594,1551.25928,1550.6018
1502319972.22976,1552.97782,521.924

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)
Fiber 4,1502321311.2518625,248.7615,1550.60102,-19.354


Fiber 1,1502321329.2418878,248.7615,1553.74414,-10.522
Fiber 2,1502321329.2418878,248.7615,1556.30576,-9.38
Fiber 3,1502321329.2418878,248.7615,1551.2593,-15.4
Fiber 4,1502321329.2418878,248.7615,1550.60122,-19.322


Fiber 1,1502321347.251913,248.762,1553.74448,-10.466
Fiber 2,1502321347.251913,248.762,1556.30608,-9.47
Fiber 3,1502321347.251913,248.762,1551.25778,-15.314
Fiber 4,1502321347.251913,248.762,1550.60198,-19.336


Fiber 1,1502321365.251938,248.7625,1553.74418,-10.53
Fiber 2,1502321365.251938,248.7625,1556.30606,-9.446
Fiber 3,1502321365.251938,248.7625,1551.2583,-15.382
Fiber 4,1502321365.251938,248.7625,1550.60214,-19.292


Fiber 1,1502321383.741964,248.762,1553.7445,-10.478
Fiber 2,1502321383.741964,248.762,1556.30632,-9.468
Fiber 3,1502321383.741964,248.762,1551.25928,-15.382
Fiber 4,1502321383.741964,248.762,1550.6023,-19.3


Fiber 1,1502321401.2419887,248.763,1553.74408,-10.508
Fiber 2,1502321401.2419887,248.763,1556.3063,-9.406
Fiber 3,1502321401.2419887,248.763,1551.25976,-15.318
Fiber 4,1502321401.2419887,248.763,1550.60268,-19.206


Fiber 1,1502321418.762013,248.76350000000002,1553.74506,-10.484
Fiber 2,1502321418.762013,248.76350000000002,1556.30574,-9.376
Fiber 3,1502321418.762013,248.76350000000002,1551.25976,-15.356
Fiber 4,1502321418.762013,248.76350000000002,1550.60202,-19.286


Fiber 1,1502321436.7520382,248.765,1553.74524,-10.478
Fiber 2,1502321436.7520382,248.765,1556.30558,-9.394
Fiber 3,1502321436.7520382,248.765,1551.25918,-15.354
Fiber 4,1502321436.7520382,248.765,1550.60164,-19.306


Fiber 1,1502321454.2520628,248.766,1553.74492,-10.498
Fiber 2,1502321454.2520628,248.766,1556.30648,-9.366
Fiber 3,1502321454.2520628,248.766,1551.25908,-15.348
Fiber 4,1502321454.2520628,248.766,1550.60202,-19.262


Fiber 1,1502321471.7720873,248.767,1553.74472,-10.488
Fiber 2,1502321471.7720873,248.767,1556.3056,-9.426
Fiber 3,1502321471.7720873,248.767,1551.25966,-15.326
Fiber 4,1502321471.7720873,248.767,1550.6019,-19.322


Fiber 1,1502321489.2621117,248.76749999999998,1553.74546,-10.53
Fiber 2,1502321489.2621117,248.76749999999998,1556.3051,-9.404
Fiber 3,1502321489.2621117,248.76749999999998,1551.2595,-15.354
Fiber 4,1502321489.2621117,248.76749999999998,1550.60194,-19.284


Fiber 1,1502321506.7521362,248.76999999999998,1553.74532,-10.498
Fiber 2,1502321506.7521362,248.76999999999998,1556.30546,-9.458
Fiber 3,1502321506.7521362,248.76999999999998,1551.2594,-15.398
Fiber 4,1502321506.7521362,248.76999999999998,1550.60216,-19.294


Fiber 1,1502321524.302161,248.773,1553.74494,-10.478
Fiber 2,1502321524.302161,248.773,1556.3052,-9.412
Fiber 3,1502321524.302161,248.773,1551.25822,-15.37
Fiber 4,1502321524.302161,248.773,1550.60188,-19.27


Fiber 1,1502321542.2521858,248.77249999999998,1553.74488,-10.464
Fiber 2,1502321542.2521858,248.77249999999998,1556.30674,-9.414
Fiber 3,1502321542.2521858,248.77249999999998,1551.25874,-15.414
Fiber 4,1502321542.2521858,248.77249999999998,1550.6027,-19.326


Fiber 1,1502321559.7722104,248.7745,1553.74466,-10.452
Fiber 2,1502321559.7722104,248.7745,1556.30612,-9.388
Fiber 3,1502321559.7722104,248.7745,1551.2579,-15.334
Fiber 4,1502321559.7722104,248.7745,1550.60172,-19.276


Fiber 1,1502321577.252235,248.7745,1553.74472,-10.514
Fiber 2,1502321577.252235,248.7745,1556.30652,-9.416
Fiber 3,1502321577.252235,248.7745,1551.25854,-15.354
Fiber 4,1502321577.252235,248.7745,1550.60206,-19.264


Fiber 1,1502321594.7522593,248.775,1553.74446,-10.474
Fiber 2,1502321594.7522593,248.775,1556.30612,-9.426
Fiber 3,1502321594.7522593,248.775,1551.25926,-15.402
Fiber 4,1502321594.7522593,248.775,1550.60128,-19.302


Fiber 1,1502321612.2522838,248.77550000000002,1553.74442,-10.456
Fiber 2,1502321612.2522838,248.77550000000002,1556.30584,-9.424
Fiber 3,1502321612.2522838,248.77550000000002,1551.25984,-15.348
Fiber 4,1502321612.2522838,248.77550000000002,1550.60174,-19.284


Fiber 1,1502321629.7623084,248.7745,1553.74378,-10.516
Fiber 2,1502321629.7623084,248.7745,1556.30548,-9.42
Fiber 3,1502321629.7623084,248.7745,1551.25858,-15.348
Fiber 4,1502321629.7623084,248.7745,1550.6015,-19.288


Fiber 1,1502321692.2623959,248.7785,1553.74498,-10.5
Fiber 2,1502321692.2623959,248.7785,1556.30612,-9.436
Fiber 3,1502321692.2623959,248.7785,1551.26024,-15.376
Fiber 4,1502321692.2623959,248.7785,1550.603,-19.298


Fiber 1,1502321754.7524834,248.78449999999998,1553.74432,-10.534
Fiber 2,1502321754.7524834,248.78449999999998,1556.30528,-9.404
Fiber 3,1502321754.7524834,248.78449999999998,1551.26074,-15.332
Fiber 4,1502321754.7524834,248.78449999999998,1550.6021,-19.318


Fiber 1,1502321817.7825716,248.794,1553.7454,-10.498
Fiber 2,1502321817.7825716,248.794,1556.30678,-9.428
Fiber 3,1502321817.7825716,248.794,1551.25996,-15.416
Fiber 4,1502321817.7825716,248.794,1550.60298,-19.288


Fiber 1,1502321880.2726593,248.805,1553.7455,-10.462
Fiber 2,1502321880.2726593,248.805,1556.3068,-9.402
Fiber 3,1502321880.2726593,248.805,1551.25946,-15.396
Fiber 4,1502321880.2726593,248.805,1550.60274,-19.274


Fiber 1,1502321942.7627466,248.813,1553.7456,-10.454
Fiber 2,1502321942.7627466,248.813,1556.3074,-9.452
Fiber 3,1502321942.7627466,248.813,1551.26,-15.324
