Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.7432,1556.30502,1551.84144,1550.59868
1501109679.620152,1553.1220850000002,248.843

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)
Fiber 1,1501112670.6970398,248.82549999999998,1553.74272,-10.526
Fiber 2,1501112670.6970398,248.82549999999998,1556.30358,-9.42
Fiber 3,1501112670.6970398,248.82549999999998,1551.84114,-15.408
Fiber 4,1501112670.6970398,248.82549999999998,1550.59822,-19.442


Fiber 1,1501112733.1971273,248.819,1553.74278,-10.462
Fiber 2,1501112733.1971273,248.819,1556.30504,-9.412
Fiber 3,1501112733.1971273,248.819,1551.84238,-15.454
Fiber 4,1501112733.1971273,248.819,1550.59896,-19.39


Fiber 1,1501112795.4572144,248.8145,1553.74296,-10.506
Fiber 2,1501112795.4572144,248.8145,1556.30416,-9.402
Fiber 3,1501112795.4572144,248.8145,1551.84156,-15.434
Fiber 4,1501112795.4572144,248.8145,1550.59862,-19.466


Fiber 1,1501112858.2173026,248.817,1553.74284,-10.458
Fiber 2,1501112858.2173026,248.817,1556.30408,-9.398
Fiber 3,1501112858.2173026,248.817,1551.84154,-15.432
Fiber 4,1501112858.2173026,248.817,1550.5988,-19.438


Fiber 1,1501112920.7089422,248.8245,1553.7434,-10.482
Fiber 2,1501112920.7089422,248.8245,1556.30514,-9.364
Fiber 3,1501112920.7089422,248.8245,1551.84186,-15.43
Fiber 4,1501112920.7089422,248.8245,1550.59892,-19.396


Fiber 1,1501112983.206632,248.829,1553.74306,-10.486
Fiber 2,1501112983.206632,248.829,1556.30464,-9.382
Fiber 3,1501112983.206632,248.829,1551.84128,-15.476
Fiber 4,1501112983.206632,248.829,1550.59844,-19.38


Fiber 1,1501113045.7167196,248.82850000000002,1553.74342,-10.46
Fiber 2,1501113045.7167196,248.82850000000002,1556.30496,-9.42
Fiber 3,1501113045.7167196,248.82850000000002,1551.84096,-15.464
Fiber 4,1501113045.7167196,248.82850000000002,1550.5983,-19.436


Fiber 1,1501113108.216807,248.8275,1553.74284,-10.49
Fiber 2,1501113108.216807,248.8275,1556.30456,-9.376
Fiber 3,1501113108.216807,248.8275,1551.84086,-15.47
Fiber 4,1501113108.216807,248.8275,1550.59758,-19.47


Fiber 1,1501113171.226895,248.825,1553.7428,-10.454
Fiber 2,1501113171.226895,248.825,1556.30434,-9.404
Fiber 3,1501113171.226895,248.825,1551.8403,-15.46
Fiber 4,1501113171.226895,248.825,1550.59778,-19.444


Fiber 1,1501113233.7169828,248.822,1553.7436,-10.43
Fiber 2,1501113233.7169828,248.822,1556.3045,-9.372
Fiber 3,1501113233.7169828,248.822,1551.84108,-15.438
Fiber 4,1501113233.7169828,248.822,1550.59884,-19.494


Fiber 1,1501113296.22707,248.8155,1553.74292,-10.534
Fiber 2,1501113296.22707,248.8155,1556.30374,-9.378
Fiber 3,1501113296.22707,248.8155,1551.84072,-15.446
Fiber 4,1501113296.22707,248.8155,1550.59806,-19.452


Fiber 1,1501113359.727159,248.815,1553.74308,-10.438
Fiber 2,1501113359.727159,248.815,1556.3041,-9.384
Fiber 3,1501113359.727159,248.815,1551.84156,-15.434
Fiber 4,1501113359.727159,248.815,1550.59844,-19.474


Fiber 1,1501113422.7172472,248.819,1553.74304,-10.466
Fiber 2,1501113422.7172472,248.819,1556.30428,-9.358
Fiber 3,1501113422.7172472,248.819,1551.84162,-15.454
Fiber 4,1501113422.7172472,248.819,1550.59844,-19.476


Fiber 1,1501113485.7173355,248.817,1553.74266,-10.466
Fiber 2,1501113485.7173355,248.817,1556.30414,-9.386
Fiber 3,1501113485.7173355,248.817,1551.84032,-15.504
Fiber 4,1501113485.7173355,248.817,1550.59822,-19.512


Fiber 1,1501113548.7274237,248.8175,1553.74324,-10.496
Fiber 2,1501113548.7274237,248.8175,1556.30502,-9.402
Fiber 3,1501113548.7274237,248.8175,1551.84174,-15.502
Fiber 4,1501113548.7274237,248.8175,1550.59742,-19.476


Fiber 1,1501113611.235109,248.821,1553.743,-10.462
Fiber 2,1501113611.235109,248.821,1556.3048,-9.388
Fiber 3,1501113611.235109,248.821,1551.84148,-15.472
Fiber 4,1501113611.235109,248.821,1550.5987,-19.53


Fiber 1,1501113674.725198,248.8195,1553.7433,-10.476
Fiber 2,1501113674.725198,248.8195,1556.30504,-9.406
Fiber 3,1501113674.725198,248.8195,1551.84218,-15.49
Fiber 4,1501113674.725198,248.8195,1550.5984,-19.462


Fiber 1,1501113737.2352855,248.8195,1553.74314,-10.488
Fiber 2,1501113737.2352855,248.8195,1556.30392,-9.354
Fiber 3,1501113737.2352855,248.8195,1551.84072,-15.436
Fiber 4,1501113737.2352855,248.8195,1550.59858,-19.496


Fiber 1,1501113799.735373,248.819,1553.74274,-10.48
Fiber 2,1501113799.735373,248.819,1556.30384,-9.354
Fiber 3,1501113799.735373,248.819,1551.84168,-15.524
Fiber 4,1501113799.735373,248.819,1550.59828,-19.532


Fiber 1,1501113862.7354615,248.82,1553.7428,-10.48
Fiber 2,1501113862.7354615,248.82,1556.30414,-9.356
Fiber 3,1501113862.7354615,248.82,1551.8413,-15.452
Fiber 4,1501113862.7354615,248.82,1550.59786,-19.496


Fiber 1,1501113925.7555494,248.8185,1553.7423,-10.506
Fiber 2,1501113925.7555494,248.8185,1556.30446,-9.334
Fiber 3,1501113925.7555494,248.8185,1551.84148,-15.534
Fiber 4,1501113925.7555494,248.8185,1550.598,-19.432


Fiber 1,1501113988.2456372,248.817,1553.74278,-10.49
Fiber 2,1501113988.2456372,248.817,1556.3043,-9.37
Fiber 3,1501113988.2456372,248.817,1551.84108,-15.552
Fiber 4,1501113988.2456372,248.817,1550.59798,-19.482


Fiber 1,1501114050.7357316,248.813,1553.7424,-10.45
Fiber 2,1501114050.7357316,248.813,1556.30312,-9.416
Fiber 3,1501114050.7357316,248.813,1551.8403,-15.516
Fiber 4,1501114050.7357316,248.813,1550.59766,-19.492


Fiber 1,1501114113.2408245,248.8065,1553.7424,-10.5
Fiber 2,1501114113.2408245,248.8065,1556.30398,-9.382
Fiber 3,1501114113.2408245,248.8065,1551.84106,-15.564
Fiber 4,1501114113.2408245,248.8065,1550.59738,-19.554


Fiber 1,1501114175.750912,248.804,1553.74358,-10.41
Fiber 2,1501114175.750912,248.804,1556.3039,-9.42
Fiber 3,1501114175.750912,248.804,1551.84118,-15.51
Fiber 4,1501114175.750912,248.804,1550.59816,-19.496


Fiber 1,1501114238.3009996,248.808,1553.74298,-10.484
Fiber 2,1501114238.3009996,248.808,1556.30476,-9.402
Fiber 3,1501114238.3009996,248.808,1551.8414,-15.522
Fiber 4,1501114238.3009996,248.808,1550.59816,-19.526


Fiber 1,1501114301.2510877,248.808,1553.74266,-10.504
Fiber 2,1501114301.2510877,248.808,1556.30456,-9.354
Fiber 3,1501114301.2510877,248.808,1551.84114,-15.518
Fiber 4,1501114301.2510877,248.808,1550.59832,-19.458


Fiber 1,1501114363.7611754,248.81349999999998,1553.74268,-10.504
Fiber 2,1501114363.7611754,248.81349999999998,1556.30432,-9.442
Fiber 3,1501114363.7611754,248.81349999999998,1551.84134,-15.554
Fiber 4,1501114363.7611754,248.81349999999998,1550.5982,-19.506


Fiber 1,1501114426.2512627,248.82350000000002,1553.74326,-10.496
Fiber 2,1501114426.2512627,248.82350000000002,1556.3043,-9.48
Fiber 3,1501114426.2512627,248.82350000000002,1551.84218,-15.544
Fiber 4,1501114426.2512627,248.82350000000002,1550.59804,-19.488


Fiber 1,1501114488.7613502,248.831,1553.74336,-10.494
Fiber 2,1501114488.7613502,248.831,1556.30492,-9.378
Fiber 3,1501114488.7613502,248.831,1551.84212,-15.546
Fiber 4,1501114488.7613502,248.831,1550.5994,-19.58


Fiber 1,1501114552.281439,248.8365,1553.7433,-10.464
Fiber 2,1501114552.281439,248.8365,1556.30416,-9.414
Fiber 3,1501114552.281439,248.8365,1551.84168,-15.598
Fiber 4,1501114552.281439,248.8365,1550.59832,-19.512


Fiber 1,1501114615.2615273,248.845,1553.74314,-10.522
Fiber 2,1501114615.2615273,248.845,1556.30436,-9.394
Fiber 3,1501114615.2615273,248.845,1551.84184,-15.546
Fiber 4,1501114615.2615273,248.845,1550.59994,-19.544


Fiber 1,1501114678.2616155,248.8515,1553.74348,-10.496
Fiber 2,1501114678.2616155,248.8515,1556.30462,-9.402
Fiber 3,1501114678.2616155,248.8515,1551.8413,-15.586
Fiber 4,1501114678.2616155,248.8515,1550.59822,-19.524


Fiber 1,1501114740.771703,248.85950000000003,1553.74356,-10.51
Fiber 2,1501114740.771703,248.85950000000003,1556.30572,-9.374
Fiber 3,1501114740.771703,248.85950000000003,1551.84154,-15.548
Fiber 4,1501114740.771703,248.85950000000003,1550.59978,-19.49


Fiber 1,1501114803.2617905,248.867,1553.7443,-10.472
Fiber 2,1501114803.2617905,248.867,1556.3057,-9.358
Fiber 3,1501114803.2617905,248.867,1551.84134,-15.552
Fiber 4,1501114803.2617905,248.867,1550.59928,-19.546


Fiber 1,1501114866.2618787,248.87349999999998,1553.74394,-10.458
